budget(in million),revenue(in million),content_score,user_score,genres,director,release_year,release_month,release_day,release_weekday,run_time (in minuts),title,url
nan,nan,93,70,"Animation,Music,Family",Karen J. Lloyd,2015,8,12,2,84,Barbie in Rock 'N Royals,https://www.themoviedb.org/movie/355111
36.0,102.24477,100,72,"Drama,Thriller,Crime",James Kearns,2002,2,15,4,116,John Q,https://www.themoviedb.org/movie/8470
40.0,44.922302,100,67,"Music,Drama",Benny Boom,2017,6,16,4,139,All Eyez on Me,https://www.themoviedb.org/movie/402529
nan,nan,100,73,"Thriller,Mystery",Andrés Baiz,2011,9,16,4,92,The Hidden Face,https://www.themoviedb.org/movie/80184
35.0,27.965865,100,68,"Family,Adventure,Comedy,Fantasy",Uli Edel,2000,10,27,4,95,The Little Vampire,https://www.themoviedb.org/movie/24100
20.0,nan,71,nan,"Horror,Thriller",Victor Salva,2021,12,23,3,nan,Jeepers Creepers: Reborn,https://www.themoviedb.org/movie/717728
16.0,68.411275,100,64,"Adventure,Fantasy,Animation,Action,Family",Kunihiko Yuyama,2001,4,6,4,93,Pokémon 3: The Movie - Spell of the Unown,https://www.themoviedb.org/movie/10991
nan,nan,100,58,"Horror,Mystery",Pollyanna McIntosh,2020,7,10,4,101,Darlin',https://www.themoviedb.org/movie/529149
37.0,278.3,100,63,"Action,Adventure,Fantasy",Wuershan,2015,12,28,0,127,Mojin: The Lost Legend,https://www.themoviedb.org/movie/299824
3.7,nan,100,74,"Action,Drama,Thriller",Ben Ramsey,2009,2,7,5,93,Blood and Bone,https://www.themoviedb.org/movie/22164
3.0,1.882074,100,54,"Comedy,Horror,Drama,Thriller",Kevin Smith,2014,9,19,4,102,Tusk,https://www.themoviedb.org/movie/246403
30.0,150.847207,100,74,"Drama,History",Joe Wright,2018,1,19,4,125,Darkest Hour,https://www.themoviedb.org/movie/399404
nan,nan,93,76,"Action,Horror,Mystery",Katsuyuki Motohiro,2017,9,30,5,109,Ajin: Demi-Human,https://www.themoviedb.org/movie/433128
3.5,nan,100,51,Comedy,Rob Meltzer,2013,4,27,5,95,Welcome to the Jungle,https://www.themoviedb.org/movie/205724
nan,nan,100,72,"Animation,Adventure,Fantasy",Shigeyasu Yamauchi,1996,3,2,5,80,Dragon Ball: The Path to Power,https://www.themoviedb.org/movie/39148
nan,nan,100,63,Adventure,David Oyelowo,2021,5,7,4,92,The Water Man,https://www.themoviedb.org/movie/346687
5.0,51.749995,100,58,"Horror,Thriller",Tate Taylor,2019,5,31,4,99,Ma,https://www.themoviedb.org/movie/502416
nan,nan,100,38,"Science Fiction,Horror",Neil Rowe,2020,2,11,1,84,Alien Outbreak,https://www.themoviedb.org/movie/668343
8.0,nan,100,59,"Crime,Thriller",Peter Howitt,2014,1,17,4,91,Reasonable Doubt,https://www.themoviedb.org/movie/240916
125.0,238.207122,100,43,"Science Fiction,Action,Fantasy",Bob Kane,1997,6,20,4,125,Batman & Robin,https://www.themoviedb.org/movie/415
